AssetID,AssetName,AssetLocat,Risk
2130001,Our Lady Of Hope School,"The Golden Way, Golden Grove",Low
2130002,Greenwith Primary School,"Laburnum Dr, Greenwith",Low
2130080,Kings Baptist Grammar School,"Keithcot Farm Dr, Wynn Vale",Low
2130081,Keithcott Farm Primary School,"Keithcot Farm Dr, Wynn Vale",Low
2130082,Keithcot Farm Childrens Centre,"Keithcott Farm Dr, Wynn Vale",Low
2130083,St Davids Parish School,"Milne Rd, Para Hills",Low
2130070,Highbury Pre School,"Beckman Ave, Highbury",Low
2130071,Dernancourt & Highbury Kindergarten,"Vernons Dr, Highbury",Low
2130084,Banksia Park Family Kindergarten,"Spring Cres, Banksia Park",Low
2130085,Fairview Park Kindergarten,"Cotton St, Fairview Park",Low
2130086,Greenwith Kindergarten,"Golden Grove Rd, Golden Grove",Low
3850084,Diesel boost power station,"Pigeon Flat Rd, Bordertown",Low
4870005,Oast House Yahl,"tbc, Yahl",Very High
6750105,Ladbroke Grove Powerplant,"Argyle Rd, Monbulla",Low
6750106,Midfield Coonawarra commercial industrial,"Riddoch Hwy, Penola",Very High
2170003,Golden Grove Uniting Church,"Crouch Rd, Golden Grove",Very High
2130004,Viceroy Aged Care Facility,"Captain Robertson Ave, Golden Grove",Low
2170002,Greenwith Uniting Church,"Cnr Goldengrove Greenwiith Rds, Greenwith",High
2150003,Waste Water Treatment Plant,"Greenwith Rd, Tea Tree Gully",Medium
2150004,Telstra Tower,"Seaveiw Rd, Tea Tree Gully",High
2150005,RAA Tower,"Range Rd, Upper Hermitage",Extreme
2150006,Communications Tower,"Range Rd Nth, Upper Hermitage",Extreme
2170004,Old Cold Stores,"Pecan Cl, Highbury",Low
6750107,SAGRN Tower,"Trig Point off Elgin Lane, Claywells",High
1530080,The Waite Campus,"Walter Young Rd, Urrbrae",Medium
1530029,Carrick Hill,"Carrick Hill, Springfield",Medium
1530003,Windy Point,"Belair Rd, Belair",Extreme
1530045,Kalyara Hospital Aged Care,"48-54 Gloucester Ave, Belair",Extreme
1570002,Craigburn Farm Homestead,"Blackwood Park Blvd, Craigburn Farm",Very High
1550001,Craigburn Nursery,"156 Coromandel Pde, Blackwood",Very High
1570005,Craiglee House,"Craiglee, Coromandel Valley",High
1770008,Murrays Biscuit Factory,"Murrays Biscuit Factory, Coromandel valley",Extreme
1570009,Wittunga Botanic Garden,"Shepherds Hill Rd, Blackwood",Extreme
2130030,St Agnes Primary School,"Smart Rd, St Agnes",Medium
2130033,Highbury Primary School,"Payne St, Highbury",Low
2130014,Tea Tree Gully Primary School,"Memorial Dr, Tea Tree Gully",Very High
2130015,Kathleen Mellor Kindergarten,"Bowen Rd, Tea Tree Gully",Medium
2130016,Banksia Park High School,"Milne Rd, Banksia Park",High
2130017,St Davids Primary School,"Elizabeth St, Tea Tree Gully",Low
2130018,Banksia Park Primary School,Cottenham Rd Banksia Park,Low
2130019,Tea Tree Gully Gym,"Elizabeth St, Banksia Park",Low
2130020,Fairview Park Primary School,"Neppondi Dr, Fairview Park",Low
2130061,Rifle Range Gun Club,"Rifle Range Rd, Greenwith 5125",Very High
2130034,NESKI Gun Club,"Range Rd Nth, Upper Hermitage",Extreme
2150008,Greenstead Nursery,"North East Rd, Upper Hermitage",Extreme
2150011,Golden Grove Shopping Centre,"The Golden Way, Golden Grove",Low
1150032,Aldgate - Toy Library,"Kingsland Rd, Aldgate",Medium
1130034,Balhannah Oval -Tennis/Netball Clubrooms (B703),"Onkaparinga Valley Rd, Balhannah",Low
1150021,Pumping Station,"Smith Rd, Kersbrook",Very High
1150022,Pumping Station,Spring St Kersbrook,Very High
1150023,Kersbrook Oval CWMS tanks,"Glover St, Kersbrook",Extreme
1170007,Kersbrook Public Hall,Scott St Kersbrook,Low
1170008,Primrose Cottage,High St Kersbrook,Very High
1150024,Comms and TV tower,Levitt Rd Kersbrook,High
1170009,Forreston Community Centre Inc,"Forreston Rd, Forreston",Medium
1170010,Gumeracha Civic Centre,Albert St Gumeracha,Low
1130022,Big Rocking Horse,Gumeracha,Very High
1150025,Council Works Depot,John Fisher Av Gumeracha,High
1130023,Torrens Valley Child Care Centre,"John Fisher Ave, Gumeracha",Medium
1170011,Salem Baptist Church,Victoria St Gumeracha,High
1170012,Randals Mill,Victoria St Gumeracha,Extreme
1170013,Kenton Park and Barn,Albert St Gumeracha,Very High
1150026,CWMS Pumping Station,Church St Birdwood,High
1130025,National Motor Museum,"Shannon St, Birdwood",Low
1130026,Open Arms Childcare,Shannon St Birdwood,Very High
1150006,Pumping Station (CWMS),Birdwood Oval,High
1130006,Birdwood Park and Sporting Club,"Torrens Valley Rd, Birdwood",High
1150007,Birdwood CWMS plant,Muellers Rd Birdwood,Very High
1150008,CWMS Pumping Station Oval Rd,"Oval Rd, Mt Torrens",High
1150009,CWMS pumping station,"Springhead Rd, Mt Torrens",High
1130007,Mt Torrens Sports Club,Oval Rd Mt Torrens,Medium
1130008,Springhead Lutheran Primary School,Springhead Rd Mt Torrens,High
1130009,Houghton Districts Memorial Park,Lower North East Rd Houghton,Extreme
1130010,Highercombe Golf Club,Paracombe Rd Paracombe,High
1130011,Paracombe Recreation Grounds,Paracombe Rd Paracombe,Low
1130013,Cudlee Creek Caravan Park,Gorge Rd Cudlee Creek,Extreme
1130014,Gorge Wildlife Park,Redden Drive Cudlee Creek,Extreme
1170003,Cudlee Creek Soldiers Memorial Hall,Redden Drive Cudlee Creek,Very High
1150012,Communication Tower,Tippett Rd Millbrook,Extreme
1130015,Bushland Park,Kenton Valley Rd Lobethal,Very High
1150010,Communications Towers,Lobethal North,High
1150014,Thomas Foods,Ridge Rd Lobethal,High
1130016,Lobethal Sports & Recreation Club,"Onkaparinga St, Lobethal",Low
1150015,Adelaide Hills Business Tourist Centre,"Adelaide-Lobethal Rd, Lobethal",Low
1130017,Kleeman Funeral Home,"Graeber Rd, Lobethal",Medium
1170004,Charleston Community Centre,"Newman Rd, Charleston",Low
1150016,CWMS Pumping Station,"Onkaparinga Valley Rd, Charleston",Extreme
1130012,Bird in Hand Winery,"Pfeiffer Road, Woodside",Low
1150017,Wewak Sewerage Pump Station,Wewak Rd Woodside,Very High
1150018,CMWS Main pumping station,Onkaparinga Valley Road Woodside,High
1130018,Woodside Lodge,"Tolmer Rod, Woodside",High
1130019,Johnston Memorial Park,"Onkaparinga Valley Rd, Balhannah",Low
1130020,Hills Christian Community School,"Onkaparinga Valley Road, Verdun",Extreme
1150019,CWMS Pump Station 1,"Onkaparinga Valley Road, Verdun",Very High
1150011,CWMS Pump Staion 2,"Mount Barker Road, Verdun",High
1130021,Lions Hearing Dogs,Mount Barker Rd Verdun,Medium
1150020,Lenswood Co-op,"Coldstore Rd, Lenswood",High
1170005,Forest Range Community Hall,Lobethal Road Forest Range,High
1170006,Basket Range Community Hall,Burdetts Rd Basket Range,Extreme
1170014,Ashton Hall,Lobethal Rd Ashton,Extreme
1170015,Cherryville Community Centre,Cherryville Rd Cherryville,Very High
1130062,Rostrevor College,Kintyre Rd Rostrevor,Medium
1130027,The Summit Community Centre,"Crescent Dr, Norton Summit",Extreme
1170017,Uraidla Red Shed,Greenhill Rd Uraidla,Very High
1150027,Mylor Tanks,Mylor,Medium
1130028,Mylor Oval Clubrooms,Strathalbyn Rd Mylor,Very High
1170018,Mylor Community Hall,"Cross St, Mylor",Low
1130029,Mylor Adventure Camp,"Wingrove Rd, Mylor",Very High
1170019,Bradwood Park,Bradbury Rd Bradbury,Very High
1170020,Bradbury Hall,"Longwood Rd, Bradbury",Very High
1150028,Council Depot,"Scott Creek Rd, Heathfield",Extreme
1150001,Heathfield Waste Transfer Station,Scott Creek Rd Heathfield,Extreme
1130003,Heathfield Sporting Club,"Longwood Rd, Heathfield",Medium
1130004,Hillside Garden Apartments,"Longwood Rd, Heathfield",High
1170001,Upper Sturt Hall,"Upper Sturt Rd, Upper Sturt",Extreme
1150002,Communications Tower,"Upper Sturt Rd, Crafers West",Very High
1130005,Woodhouse Activity Centre,"Spring Gully Rd, Piccadilly",Extreme
1150004,Stirling CWMS Pumping Station 1,"Golflinks Rd, Stirling",Very High
1150005,Stirling CWMS Pumping Station 2,"Golflinks Rd, Stirling",Extreme
1170002,Piccadilly Community Hall,"Piccadilly Rd, Piccadilly",High
1130030,Birdwood Secondary School,"Shannon St, Birdwood",Very High
1150038,Communications Tower,Inglewood,High
1150039,Communications Tower,"Shurdington Rd, Crafers",Very High
1150040,Communications Tower,"Hillcrest Ave, Crafers",Very High
1150041,Communications Infastructure - Broadcast Australia Site,"Mt Lofty Summit Rd, Cleland",Very High
1150043,Communications Tower,"Old Mount Barker Rd, Aldgate",Extreme
1150046,Communications Tower,"Coach Rd, Ashton",Very High
1150047,Communications Tower,"Ridge Rd, Ashton",Very High
1150035,Communications Tower,"off Ridge Rd, Ashton",Very High
2030005,Gulfview Heights Primary,"Kiekebusch Rd, Gulfview Heights",Medium
2030006,Burton Nursing Home,"Bolivar Rd, Burton",High
2030007,Highway One Caravan Park,"Port Wakefield Rd, Bolivar",Extreme
2050001,Bolivar Sewerage Treatment Works,"Hodgson Rd, Bolivar",Medium
2050002,Bolivar DAFF Plant,"St Kilda Rd, St Kilda",Low
2030009,Tram Museum,"St Kilda Rd, St Kilda",Very High
2050003,Radar Facility,"Radar Rd, St Kilda",Low
2050004,Landfill Gas Facility,"Coleman Rd, St Kilda",Very High
1150071,Mylor Substation,Second St Mylor,High
1150072,Heathfield Water Treatment Plant,"Brick Kiln Rd, Heathfield",Extreme
1130068,Hills Montessori School,"Anderson Rd, Aldgate",Medium
1130069,Mt Lofty Golf Course,"Golf Links Rd, Mt George.",Extreme
1150073,Sub Station,"Onkaparinga Valley Rd, Balhannah",High
1130070,Balhannah Scout Camp,"Pye Rd, Balhannah",Very High
1130073,Summerhill Nursing Home,"1142 Greenhill Rd, Uraidla",Very High
1130076,St Johns Lutheran Aged Care Units,"137 Onkaparinga Valley Rd, Woodside",Medium
1150074,Communications Infrastructure,"Swamp Rd, Lenswood",High
1130099,Seonne Hills Scout Camp,"Mueller Rd, Mt George",Extreme
1130101,Paracombe Locality,Paracombe,Very High
1130106,Youth with a mission,Colonial Drive Norton Summit,Extreme
1170027,Marble Hills Ruins,Marble Hill Rd Marble Hill,Extreme
1130113,Scott Creek locality,Scott Creek,Very High
1130116,Monks retreat,Whitehead Rd Mylor,Extreme
1130119,Longwood Locality,Longwood,Very High
1130121,Arbury Park,"Arbury Park Rd, Arbury Park",Extreme
1130123,Verdun Settlement,Onkaparinga Valley Rd Verdun,Very High
1750005,SRWRA Dump,"Bakewell Road, Mclaren Vale",N/A
1730122,Sellicks Hall,"Riviera Road, Sellicks Beach",High
1730123,Aldinga Beach Surf Life Saving Club,"Norman Road, Silver Sands",Very High
1730124,Aldinga Beach Caravan Park,"Cox Rd, Aldinga Beach",Very High
1750006,Pumping Station,"Hart Rd, Aldinga Beach",Very High
1730125,Aldinga Sports Club,"Old Coach Rd, Aldinga",Low
1730126,Aldinga Institute Hall,"Old Coach Rd, Aldinga",Low
1730127,Willunga Golf Clubhouse,"St Peters Tce, Willunga",Low
1730128,Willunga High School,"Main Road, Willunga",Low
1730129,Willunga Waldorf School,"Jay Dr, Willunga",Low
1750007,CWMS Pumping Station,"Victor Harbor Rd, Willunga",High
1730130,Mclaren Vale Sports Club,"Park Drive, Mclaren Vale",Medium
1730132,Mclaren Vale Caravan Park,"Park Drive, Mclaren Vale",Medium
1730133,Mclaren Vale Visitor Centre,"Main Rd, Mclaren Vale",Medium
1730134,Tatachilla Lutheran College,"Tatachilla Rd, Mclaren Vale",Medium
1730135,Big 4 Port Willunga Caravan Park,"Tuitt Rd, Maslins Beach",Very High
1730136,Douglas Scrub Girl Guide Camp,"Douglas Gully Rd, Blewitt Springs",Very High
1730137,Blewitt Springs Community Hall,"Blewitt Springs Rd, Blewitt Springs",Extreme
1730138,Kangarilla Sports Park,"Kangarilla Rd, Kangarilla",Low
1730139,Clarendon Historic Hall,"Grants Gully Rd, Clarendon",Medium
1730140,Kindergarten and Community Hall,"Potter Rd, Clarendon",Very High
1730142,Clarendon Primary School,"Potter Road, Clarendon",Very High
1730143,Clarendon Bowling Club,"Nicolle Rd, Clarendon",Low
1730144,Cherry Gardens Memorial Hall,"Cherry Gardens Rd, Cherry Gardens",Medium
1730145,Cherry Gardens Uniting Church,"Hicks Hill Rd, Cherry Gardens",Very High
1750008,Cherry Gardens Airstrip,"Thorley Rd, Cherry Gardens",Extreme
1730146,Ironbank/Cherry Gardens Sporting Club,"Ackland Hill Rd, Cherry Gardens",Low
1730147,Coromandel Valley Uniting Church,"Main Rd, Coromandel Valley",Very High
1730148,Coromandel Valley Institute Hall,"Main Rd, Coromandel Valley",Extreme
1730149,Craigburn Primary School,"Murrays Hill Rd, Flagstaff Hill",Low
1730150,Flagstaff Hill Oval Kindergarten,"York Drive, Flagstaff Hill",Very High
1730151,Flagstaff Hill Kindergarten,"Renwick St, Flagstaff Hill",Very High
1730152,Minkarra North Reserve,"Black Rd, Happy Valley Dr, Happy Valley",Very High
1730153,Happy Valley Sporting Complex,"Taylors Rd, Happy Valley",Low
1750009,Satellite Depot,"Education Road, Aberfoyle Park",Medium
1730154,Chandlers Hill Kindergarten,"Education Rd, Aberfoyle Park",Low
1730155,Riding for Disabled,"Pine Rd, Woodcroft",Extreme
1730156,Horse Trials SA,"Pine Rd, Woodcroft",Extreme
1730157,Byards Community Centre,"Byards Rd, Happy Valley",Low
1730158,Happy Valley Community Childcare Centre,"Linda Street, Happy Valley",Low
1730159,Kindergarten,"Regency Road, Happy Valley",Low
1730160,Tengari Reserve - BMX Park,"Reynell Rd, Woodcroft",Very High
1730161,The Hill Rec Centre,"Candy Rd, Ohalloran Hill",Low
1730162,OHalloran Hill Scouts and Guides,"Candy Rd, OHalloran Hill",Low
1730163,Wilfred Taylor Reserve - Sports Park,"Cnr States and Wheatsheaf Roads, Morphett Vale",Very High
1730090,Southern Rockhounds,"Joan Ct, Christies Downs",Very High
1730091,Karrawatha Hall,"Baden Tce, OSullivan Beach",Low
1770010,Saubier House,"Wearing Street, Pt Noarlunga",Low
1730092,WM Hunt Reserve,"River Rd, Pt Noarlunga",Low
1730093,Southport Surf Life Saving Club,"Weatherald Tce, Pt Noarlunga South",Very High
1750004,Seaford Meadows Field Operations Centre,"Railway Terrace, Seaford Meadows",Low
1730094,Scout Hall,"Railway Rd, Seaford Meadows",Medium
1730095,Old Noarlunga Community Hall,"Patapinda Road, Old Noarlunga",Low
1730131,Moana Tourist Park and Hall,"Nashwauk Cres, Moana",Medium
1730096,Galliee Catholic School,"Quinluven Rd, Aldinga",High
1730107,Caravan Park,Woodcroft,Extreme
1730112,Morphett Vale Primary School,"Farnsworth Dr, Woodcroft",Medium
1730115,Bethsalem Aged Care,"Happy Valley Dr, Happy Valley",Low
1730119,Hillsview Retirement Village,"McHarg Rd, Happy Valley",Low
2730004,Cove Sports and Community Club,"Lonsdale Road, hallett Cove",Low
2730009,Trott Park Neighbourhood Centre,"Hessing Crescent, Trott park",High
1750010,SA Waste,"Liston Road, Lonsdale",Very High
1470004,Penfolds Magill Estate Winery,"78 Penfold Rd, Magill",Low
1430005,Seymour College,"546 Portrush Rd, Glen Osmond",Low
1470001,Sikh Society of South Australia,"10 Mt Barker Rd, Glen Osmond",Low
1430019,All Pet Boarding Village,"92 Mt Barker Rd, Mt Osmond",Extreme
1470005,Monument,"Mine Chimney Reserve, Jikara Dr, Mt Osmond",Low
5430003,Last Resort Refuge - Anembo Park,"Princes Hwy, Littlehampton",High
5430004,Last Resort Refuge - Callington Recreational Park,"Callington Rd, Callington",High
5430005,Echunga Recreation Grounds,"Echunga Rd, Echunga",Medium
5430006,Macclesfield Recreation Grounds,"Davies St, Macclesfield",Extreme
5430007,Meadows Recreation Reserve,"Mawson Rd, Meadows",High
5430009,Hahndorf Recreation Grounds,"98 Echunga Rd, Hahndorf",Extreme
5430011,Mt Barker Caravan & Tourist Park,"40 Cameron Rd, Mt Barker",Extreme
5430012,Steam Ranger Tourist Railway,"Dutton Rd, Mt Barker",Extreme
5430013,Chookarloo Camping Ground,"Brookman Rd, Kuitpo Forest",Very High
5430014,The Hahndorf Resort,"145 Mt Barker Rd, Hahndorf",Extreme
5430015,Wistow Oval,"Wellington Rd, Wistow",Very High
5430017,Mt Barker-Hahndorf Golf Club,"435 Bald Hills Rd, Mt Barker",Low
5430018,Echunga Golf Course,"65 Dolman Rd, Echunga",Low
5430019,Nairne Golf Club,"Allon Plc, Nairne",Very High
5430020,Laratinga Wetlands Reserve,"Bald Hills Rd, Mt Barker",Extreme
5430021,Beerenberg Farm,"1 Mt Barker Rd, Hahndorf",High
5430022,Hahndorf Farm Barn,"2282 Mt Barker Rd, Hahndorf",Very High
5470001,Nixons Mill,"Nixon Rd, Hahndorf",Very High
5470002,The Cedars - Hans Heysen,"Heysen Rd, Hahndorf",Very High
5470026,Wallis Auchendarroch House & Tavern,"17 Adelaide Rd, Mt Bqrker",High
5430024,Mt Barker TAFE & Community Library,"Dumas St, Mt Barker",Medium
5430025,Keith Stephenson Park,"Adelaide Rd, Mt Barker",Extreme
5430026,Wistow Community Hall,"537 Wellington Rd, Wistow",High
5470027,Prospect Hill Halls,"397 Harvey Rd, Prospect Hill",Extreme
5470017,Callington Hall,"9-13 Callington Rd, Callington",Extreme
2750002,Cove Civic Centre,"Lonsdale Rd, Hallet Cove",Low
2770001,Boatshed Cafe,"Heron Way, Hallet Cove",High
2750003,Marion Council Southern Recycling Depot,"Majors Rd, Sheidow Park",High
2730013,Trott Park Tennis Club/Southbank Tennis Club,"Perceval Ct, Trott Park",Very High
2730014,Grandview Court Aged Care,"Woodend Rd, Sheidow Park",Low
6530026,Evanston Gardens Primary School,Angle Vale Rd Evaston Gardens,Very High
1830023,Munno Para Primary School,"Maltarra Rd, Munno Para 5114",Medium
3930133,Light Pass Primary School,"Light Pass Rd, Light Pass 5355",Low
1830003,Angle Vale Primary and Pre School,"Heaslip Rd, Angle Vale",High
3930240,Mount Pleasant Primary School,"Hospital Rd, Mount Pleasant",Very High
3930242,Nuriootpa Primary School,"Buna Tce, Nurioopta",Medium
1830004,One Tree Hill Primary and Pre School,"McGilp Rd, One Tree Hill",Medium
1830005,Playford Primary School,"216-220 Adams Rd, Craigmore 5114",Medium
3930126,Sandy Creek Primary School,"Davies Road, Cockatoo Valley 5351",Medium
3930244,Springton Primary School,Edwards St Springton,Low
1830006,Virginia Primary School and Pre School,"Park Rd, Virginia",Medium
1830007,Mark Oliphant College,"99 Douglas Dr, Munno Para West 5115",Medium
3930134,Williamstown Primary School,"Margaret St, Williamstown",Medium
1830008,Hope Christian College,"Yorketown Rd, Craigmore",Low
1830009,St Thomas More School,"50 Yorktown Rd, Graigmore 5114",Low
1830018,Trinity College,"Heaslip Rd, Angle Vale",Medium
3930130,Faith Lutheran College,"Magnolia Rd, Tanunda",Medium
1830074,Elizabeth East Primary School,"Dolphin St, Elizabeth East",Low
1830075,Elizabeth Park Primary Schoo,"Turner Rd, Elizabeth Park",Low
3930250,TafeSA  Barossa Valley Campus,Old Kapunda Rd Nurioopta,High
1830020,St Columba College,"President Ave, Andrews Farm",Medium
1830129,Blakes Crossing Christian College,Boucaut Ave Blakes Crossing,Medium
1830130,Craigmore South Primary School,Yorktown Rd,Low
3930119,Good Shepherd Lutheran School,"Neldner Ave, Angaston 5353",Low
3930254,Redeemer Lutheran School,"Vine St, Nuriootpa",High
3930255,St Jakobi Lutheran School,Lyndoch Valley Rd Lyndoch,Low
3930256,Inner North Community Health and Mental Health Service - Nuriootpa Site,Sxholz Ave Nurioopta,Medium
3930258,Inner North Community Health Services - Tanunda,Mill St Kapunda,Medium
3930121,Angaston District Hospital,"North St, Angaston 5353",Medium
3930138,Mount Pleasant District Hospital,"Hospital Rd, Mt Pleasant 5232",Very High
6550012,Gawler Fire Station,Ayers St Gawler,Medium
3950131,Mount Pleasant Station,Hospital Rd Mt Pleasant,Low
3950132,Mount Pleasant Police Station,"Melrose St, Mt Pleasant",Low
1830123,Yangala Retirement Village,Yorktown Rd,Low
1830073,Narooma Retirement and Aged Care Services,"Adams Rd, Craigmore 5114",Low
1830124,Narooma Retirement and Aged Care Services -,Karra Court Elizabeth,Low
1830125,The Wyatt Benevolent Institution Inc - Elizabeth East,Halsey Rd Elizabeth East,Low
1830127,Anglicare Aged Housing,Dutton Court Elizabeth,Low
1830019,Angle Vale Gardens Retirement Estate Pty Ltd,"Fradd Crt, Angle Vale",Medium
3930247,Barossa Village Inc - Basedow Hof,"Basedow Rd, Tanunda",Medium
3930136,Barossa Village Aged Care,"Atze Pde, Nuriootpa",Low
3930137,Barossa Village Inc Joy Rice Centre,"Scholz Ave, Nuriootpa",Low
3930117,Barossa Village Inc,"North St, Angaston 5355",High
1830021,The Village Green,"Fradd Crt, Angle Vale",Low
1830133,Munno Para Kindergarten,Karinga Cres Munno Para,Medium
3930261,Nuriootpa Community Childrens Ctr,"Park Ave, Nurioopta",Low
3930264,Goodstart EL Nuriootpa,Vine St Nurioopta,Medium
1830134,North Lakes Child Care & Family Ctr,Curtis Rd Munro Para West,Medium
3930239,St Jakobi Lutheran School OSHC/Vac,Lyndoch Valley Rd Lyndoch,Low
1830077,Midway Road Community House,"Midway Rd, Elizabeth Downs",Low
1830119,Craigmore Kindergarten,Caryna St Craigmore,Low
1830120,Elizabeth East Kindergarten,Hornet Cres Elizabeth East,Low
1830121,Andrews Farm Community Preschool,President Rd Andrews Farm,Medium
1830122,Hillbank Community Childrens Centre,Blackburn Rd Elizabeth East,Low
1830010,Goodstart Early Learning Centre,"201 Argent Rd, Penfield",High
1830118,New Friends Child Care Centre,Kirk St Elizabeth Park,Low
1830126,Angle Vale Kindy Care,Angle Vale Rd Angle Vale,Low
1830017,Virginia Grove Early Learning Centre,"3 Arbequina Rd, Virginia",Very High
1830131,Stepping Stone Childcare Centre,Wallaby St Munno Para West,Medium
1830132,Craigmore YMCA OSHC/Vac,Yorktown Rd Graigmore,Low
3930265,Mount Pleasant & District Kgtn,Saleyard Rd Mt Pleasant,Medium
1530060,Brownhill Creek Caravan Park,"Brownhill Creek Rd, Mitcham",Very High
3930243,Williamstown Queen Victoria Jubilee  Park,Glen Gillian Rd Williamstown,Low
1430004,Penfolds Wines,"78 Penfold Rd, Magill",Low
1430025,Stonyfell Winery,"Stonyfell Rd, Stonyfell",Medium
1430026,Skye Cellars,"587 The Parade, Auldana",Extreme
1430022,St Peters Girls School,"Stonyfell Rd, Stonyfell",Medium
1130238,Chambers Gully Walking Trails,"Burnside Quarry Trk, Burnside",Extreme
1430020,Waterfall Gully - Cleland Conservation Park,"Waterfall Gully Rd, Waterfall Gully",Very High
1430027,Tollgate Motel,"Mt Barker Rd, Glen Osmond",Medium
1430018,Mount Osmond Golf Club,"60 Mount Osmond Rd, Mt Osmond",Medium
1450010,Water tank,"Coach Rd, Rosslyn Park",N/A
1450011,Dam - Wattle Park Earth Bank Storage,"139 Penfold Rd, Stonyfell",N/A
1450012,Water Storage,"Penfold Dr, Stonyfell",Low
1450013,Water Infrastructure,"Thorpe Rd, Burnside",Low
1450014,Water Infrastructure,"Waterfall Gully Rd, Burnside",High
1450015,Water Infrastructure,"Glynburn Rd, Beaumont",N/A
1450005,Communications Infrastructure,"Seaview Rd, Mt Osmond",Low
1450006,Water Storage,"Sunnyside Rd, Mt Osmond",Low
1450007,Pumping Station,"Mount Osmond Golf Club, Sunyside Rd, Mt Osmond",Very High
1450016,Water Tanks,"Old Bullock Track, Mt Osmond",Medium
1450017,Water Infrastructure - Pump Station and Tank,"Mount Osmond Rd, Beaumont",Low
1450008,Water Infrastructure - Pump Station & Tank,"Caithness Ave, Beaumont",Low
1430023,Beaumont House,"Glynburn Rd, Beaumont",High
1750011,CWMS Pumping Station,"Nicolle Rd, Clarendon",Very High
1750012,CWMS Pumping Station,"Cnr Potter Pl, Grants Gully Rd, Happy Valley",Very High
1750013,CWMS Pumping Station,"Grants Gully Rd, Clarendon",Very High
1750014,CWMS Pumping Station,"Angel Gully Rd, Clarendon",Very High
1750015,CWMS Pumping Station,"Cnr Hunt Rd & Main Rd, McLaren Vale",Very High
1750016,CWMS Pumping Station,"Aldersey St, McLaren Vale",High
1750017,CWMS Pumping Station,"Genders Gr, McLaren Vale",High
1750018,CWMS Pumping Station,"Field St, McLaren Vale",Low
1750019,CWMS Pumping Station,"Coast Vines Trail, McLaren Vale",High
1750020,CWMS Pumping Station,"Chalk Hill Rd, Clarendon",High
1750021,CWMS Pumping Station,"Herbert Allan Way, Willunga",Very High
1750022,CWMS Pumping Station,"Jay Dr, Willunga",Very High
1750023,Waste Water Treatment Plant,"Little Rd, Willunga",High
1750024,CWMS Pumping Station,"Rifle Range Rd, Willunga",High
1750025,Waste Water Treatment Plant,"Maritime Ave, Sellicks Beach",Very High
1750026,CWMS Pumping Station,"Seascape View, Sellicks Beach",High
1750027,CWMS Pumping Station,"Gulf Pde, Maslin Beach",High
1750028,Stormwater Harvester Pump Station,"Cnr Hart & Rowley Rd, Aldinga Beach",Very High
1750029,Stormwater Harvester Pump Station,"Dalkeith Rd, Seaford Rise",High
1750030,Stormwater Harvester Pump Station,"Brodie Rd, Morphett Vale",High
1750031,Stormwater Harvester Pump Station,"Wilfred Taylor Reserve, Morphett Vale",Extreme
1750032,Stormwater Harvester Pumping Station,"Byards Rd, Happy Valley",High
1750033,Stormwater Harvester Pump Station,"Candy Rd, Happy Valley",Low
5470023,Meadows Memorial Hall,"53 Mawson Rd, Meadows",Medium
5470020,Beerenberg Barn,"2106 Mount Barker Rd, Hahndorf",Extreme
5470018,Nairne Former Tannery,"2 Thomas St, Nairne",Medium
5470022,The Valleys,"250 Peggy Buxton Rd, Nairne",Medium
5470024,Ferdinand Von Mueller Slab Hut & House,"8 Archer Hill Rd, Bugle Ranges",Very High
5470021,Former Callington Police Station,"32 Montefiore St, Callington",Extreme
5470025,Prospect Hill Uniting Church,"Morris Rd, Prospect Hill",High
5470019,Mooney Barnhouse,"Cnr Schroeder Rd & Windsor Ave, Hahndorf",Very High
1430010,Lookout - Kensington Rd,"McBeath Dr, Wattle Park",Very High
1450004,Communications Tower,Mt Osmond Rd,Medium
1450003,Water Tank,"Windmill Rd, Rosslyn Park",Low
1430002,Utopia Waterfall Gully Restaurant,"Waterfall Gully Rd, Waterfall Gully",Very High
3930037,Yalumba Winery,"Eden Valley Rd, Angaston",High
3930038,Wolf Blass Winery,"Sturt Hwy, Nuriootpa",Low
3950007,,"Barossa Valley Hwy, Rowland Flat 5352",Low
3930232,Pernod Ricard Winery Complex,"Barossa Valley Hwy, Rowland Flat 5352",Low
3930074,Stockwell Recreation Park,"Duck Ponds Rd, Stockwell",Low
3930076,Stockwell Hall,"Duck Ponds Rd, Stockwell 5355",Low
3930077,Stockwell Hotel,"Duck Ponds Rd, Stockwell",Medium
3930078,Angas Recreation Park,"Washington St, Angaston 5353",Low
3930079,Company Kitchen,"Valley Rd, Angaston 5353",Low
3930081,Collingrove Horse Track,"Swan Reach Rd, Angaston 5353",Medium
3930085,Vitners Corner,"Murray St, Angaston 5353",Medium
3930093,Moculta Recreation Park,"Keyneton Rd, Moculta",Medium
3930095,Moculta Soldiers Memorial Hall,"Keyneton Rd, Moculta",Medium
3930096,Barossa Valley Pony Club,"John Dallwitz Res, Angaston Rd, Nuriootpa, SA 5355",Low
3930101,Barossa Valley Tourist Park,"Penrice Rd, Nuriootpa SA 5355",Low
3930102,Barossa Bush Gardens,"Research Rd, Nuriootpa 5355",Medium
3950010,KSI Sawmills,"Falkenberg Rd, Nuriootpa",Very High
3930001,Nuriootpa Recreation Precinct,"Buna Tce, Nurioopta  SA 5355",High
